rounded_lat,rounded_long,rounded_date,astronomical_twilight_begin,nautical_twilight_begin,civil_twilight_begin,sunrise,solar_noon,sunset,civil_twilight_end,nautical_twilight_end,astronomical_twilight_end
40,-90,2019-03-03,39621,41506,43386,44929,65515,86100,1243,3124,5009
40,-80,2019-03-03,37223,39108,40989,42532,63115,83699,85241,722,2607
30,-80,2019-03-03,37454,39117,40781,42146,63115,84084,85449,713,2377
40,-70,2019-02-17,35974,37857,39756,41328,60839,80349,81921,83820,85704
30,-80,2019-02-17,38264,39934,41616,43002,63238,83475,84861,143,1813
40,-100,2019-02-17,43167,45051,46949,48522,68038,1155,2727,4626,6509
40,-70,2019-01-27,37149,39069,41031,42676,60763,78850,80495,82457,84376
30,-80,2019-01-27,39019,40724,42456,43893,63163,82434,83871,85602,908
30,-120,2019-01-27,48616,50322,52053,53490,72765,5639,7076,8807,10513
40,-80,2019-01-20,39766,41702,43688,45359,63060,80760,82432,84417,86354
30,-100,2019-01-06,43916,45660,47439,48924,67550,86177,1262,3041,4785
30,-100,2018-12-30,43806,45558,47347,48841,67357,85873,967,2756,4508
40,-80,2018-11-25,38474,40419,42416,44102,61622,79142,80827,82825,84770
30,-80,2018-11-25,37783,39510,41268,42733,61622,80511,81975,83733,85461
40,-90,2018-11-11,40065,41977,43928,45561,63842,82123,83757,85708,1220
40,-110,2018-11-11,44868,46781,48731,50365,68643,520,2154,4105,6018
30,-80,2018-10-28,36628,38303,39993,41388,61426,81464,82859,84549,86224
50,-120,2018-10-21,45855,48097,50353,52229,71074,3520,5396,7651,9893
40,-70,2018-10-14,33581,35462,37345,38895,59158,79420,80970,82853,84734
30,-120,2018-10-07,45463,47127,48790,50153,71264,5975,7337,9001,10665
40,-90,2018-09-30,37528,39432,41316,42852,64194,85537,673,2557,4460
40,-80,2018-09-23,34684,36611,38507,40044,61937,83830,85368,864,2791
40,-110,2018-09-23,41889,43816,45712,47249,69136,4622,6160,8055,9982
40,-70,2018-09-02,30836,32896,34875,36453,59977,83502,85080,659,2719
40,-80,2018-08-26,32705,34831,36854,38457,62505,153,1756,3779,5905
-30,150,2018-08-19,68968,70642,72329,73722,7423,27525,28918,30605,32278
30,-80,2018-08-12,33550,35424,37231,38672,62700,329,1770,3577,5451
40,140,2018-08-05,64509,66911,69114,70821,9963,35505,37212,39414,41817
40,-120,2018-07-29,39968,42467,44730,46471,72388,11906,13647,15910,18409
30,-110,2018-07-15,39340,41405,43351,44881,69961,8641,10171,12117,14182
40,-120,2018-06-10,37723,40604,43085,44948,71971,12594,14456,16938,19819
40,-80,2018-05-20,29216,31819,34144,35921,62192,2064,3840,6166,8769
40,-120,2018-05-13,39390,41884,44143,45882,71780,11279,13017,15277,17770
40,-80,2018-05-06,30458,32842,35033,36732,62196,1260,2959,5150,7534
40,-110,2018-04-22,39107,41302,43372,45001,69507,7614,9243,11312,13508
40,-90,2018-04-15,35082,37199,39216,40815,64799,2383,3981,5999,8116
50,10,2018-04-08,9816,12453,14887,16790,40912,65034,66936,69371,72008
30,-80,2018-03-11,36891,38559,40222,41581,62997,84413,85771,1034,2703
40,-70,2018-02-11,36368,38258,40171,41761,60852,79943,81533,83446,85336
40,-110,2018-02-11,45961,47850,49763,51353,70452,3151,4741,6654,8543
40,-120,2018-01-21,49331,51264,53245,54912,72683,4054,5720,7701,9635
40,-120,2017-12-31,49471,51445,53482,55210,72194,2778,4506,6543,8517
40,-80,2017-12-31,39870,41844,43881,45609,62591,79573,81301,83338,85312
40,-90,2017-12-24,42135,44114,46159,47895,64787,81680,83415,85460,1039
50,-120,2017-12-24,50277,52644,55138,57321,71990,258,2441,4935,7302
30,-80,2017-12-17,38658,40413,42205,43703,62178,80653,82151,83943,85698
30,-120,2017-12-03,47734,49475,51251,52733,71400,3667,5149,6925,8667
40,-100,2017-12-03,43715,45677,47698,49409,66599,83788,85499,1121,3083
40,-110,2017-11-26,45747,47695,49697,51387,68847,86307,1597,3599,5547
40,-120,2017-11-26,48149,50097,52099,53788,71247,2306,3996,5998,7946
40,-90,2017-11-05,39721,41621,43553,45165,63816,82467,84079,86011,1512
40,-70,2017-10-22,34077,35958,37854,39422,59064,78707,80275,82170,84052
30,-80,2017-10-22,36410,38078,39757,41141,61464,81788,83171,84850,118
40,-80,2017-10-22,36478,38360,40256,41824,61464,81104,82673,84568,50
40,-80,2017-10-15,36057,37938,39823,41375,61540,81706,83258,85143,624
40,-90,2017-10-01,37606,39506,41389,42925,64170,85415,552,2435,4335
30,-80,2017-10-01,35654,37323,38986,40345,61771,83196,84555,86218,1487
50,-120,2017-09-10,41720,44232,46596,48465,71807,8749,10617,12981,15493
40,-80,2017-09-10,33830,35827,37764,39320,62209,85098,254,2192,4188
30,-80,2017-09-03,34586,36333,38047,39428,62352,85276,258,1972,3719
40,-80,2017-08-20,32246,34436,36501,38128,62597,665,2292,4358,6547
40,-80,2017-08-13,31666,33943,36066,37726,62687,1248,2908,5031,7308
40,-70,2017-08-06,28666,31042,33227,34924,60351,85777,1074,3260,5636
40,-70,2017-07-30,28063,30544,32796,34531,60386,86240,1575,3827,6309
40,-90,2017-07-30,32867,35348,37600,39335,65185,4636,6371,8623,11103
40,-80,2017-07-30,30465,32946,35198,36933,62786,2238,3973,6225,8706
40,-110,2017-07-23,37080,39671,41988,43761,69991,9821,11593,13911,16501
30,-110,2017-07-09,39091,41188,43156,44700,69919,8738,10282,12251,14347
50,-120,2017-07-09,,37078,40746,43203,72319,15036,17493,21160,
50,-120,2017-07-02,,36508,40334,42847,72250,15253,17766,21591,
40,-90,2017-07-02,30836,33708,36185,38046,65049,5652,7513,9990,12863
50,-120,2017-06-25,,36136,40058,42604,72166,15328,17874,21796,
40,-90,2017-06-11,30499,33390,35876,37741,64785,5428,7294,9780,12670
40,-80,2017-06-04,28304,31126,33576,35421,62304,2787,4632,7082,9904
30,70,2017-05-21,82263,84286,86202,1313,26195,51078,52589,54505,56528
40,-110,2017-05-28,35846,38577,40976,42794,69440,9687,11505,13904,16635
50,-120,2017-04-30,37067,40413,43216,45302,71829,11956,14042,16844,20191
40,-90,2017-04-30,33436,35738,37876,39545,64629,3314,4983,7121,9422
30,-80,2017-04-23,33547,35379,37155,38575,62294,86013,1034,2809,4641
40,-90,2017-04-23,34178,36388,38467,40101,64694,2886,4521,6599,8809
40,-80,2017-04-23,31781,33991,36069,37704,62294,485,2119,4197,6407
30,-80,2017-04-16,34078,35869,37613,39014,62382,85749,750,2495,4285
40,-120,2017-04-16,42135,44266,46292,47897,71980,9663,11268,13294,15425
40,-80,2017-04-16,32547,34677,36703,38306,62382,57,1660,3686,5816
40,-80,2017-04-09,33324,35386,37367,38945,62487,86030,1208,3189,5251
30,-120,2017-03-26,45331,47031,48711,50074,72330,8185,9548,11229,12929
40,-70,2017-03-26,32468,34429,36345,37889,60332,82776,84320,86236,1797
40,-90,2017-03-12,38720,40623,42507,44042,65377,311,1846,3730,5633
30,-120,2017-03-05,46882,48546,50210,51572,72681,7390,8752,10415,12080
50,-70,2017-03-05,33984,36254,38497,40333,60683,81033,82869,85111,981
40,-80,2017-02-26,37620,39501,41385,42935,63167,83399,84949,433,2314
40,-120,2017-02-19,47778,49659,51553,53119,72825,6131,7696,9590,11472
40,-80,2017-02-12,38685,40573,42483,44069,63251,82434,84020,85929,1417
30,-120,2017-02-12,48073,49748,51439,52834,72851,6468,7864,9554,11230
40,-70,2017-02-05,36710,38610,40540,42150,60841,79532,81141,83071,84971
40,-80,2017-02-05,39109,41008,42938,44548,63241,81934,83543,85473,972
50,-120,2017-02-05,48963,51219,53527,55478,72841,3805,5755,8063,10320
50,-120,2017-01-01,50384,52741,55219,57382,72230,677,2840,5318,7675
40,-80,2016-12-25,39765,41743,43787,45522,62423,79325,81060,83103,85082
40,-120,2016-12-18,49168,51148,53192,54928,71818,2308,4044,6089,8068
30,-110,2016-12-18,45902,47657,49450,50948,69417,1487,2985,4778,6533
40,-80,2016-12-04,38974,40938,42963,44677,61828,78979,80693,82717,84682
30,-110,2016-12-04,45383,47127,48905,50389,69030,1271,2755,4533,6276
30,-100,2016-12-04,42982,44726,46504,47988,66629,85271,355,2133,3876
50,-110,2016-11-13,45497,47778,50131,52141,68663,85185,795,3148,5429
