x,y
118.0555556,658.3333333
118.1,717.8
118,725.8333333
118,731.8333333
118.3,737.4
119.3571429,297.7142857
119.4,359.2
119,367
119,373
119,379
119,384.8333333
118,389.5
119.1,668.4
119,676.3333333
119,682.3333333
119,688.3333333
119,694.3333333
119,700.3333333
120.4,322.7
120,624
120,632
120,708
120.125,743.875
121.5,261.7777778
121.3333333,615.5
121.1666667,640.2222222
122.2272727,334.2727273
122.1666667,603.1111111
122.3333333,754.0833333
123.4,285.4
123,293.1666667
123.4,345.4
123,353.1666667
123.2272727,650
124.2272727,243.4545455
124,251.8333333
124.5,257.25
124.2272727,273.4545455
124,280
124.2272727,309.4545455
124.3,317.6
124.2272727,661
124.2272727,715
124,723.5
124,729.5
124,735.5
125.3571429,301
125.5,362.1111111
125,369.3333333
125,375.3333333
123.7857143,381.1428571
125.2272727,672
125,680.5
125,686.5
125,692.5
125,698.5
125,704.5
126.4,326.2
126.2272727,611
126.2272727,623
126,631.5
126,637.5
126.2272727,743
127.5,265.2222222
127.2272727,598
128.4,337
128.1923077,753.6153846
129.2272727,288.7272727
129.3,296.8
129.3571429,344.1428571
129,351.1666667
129.3,356.8
129.2272727,644
129,652.5
130.4,239.4
130,247.3333333
130,253.3333333
130.1,258.8
130.4,275.4
129.5,281.6666667
130.4,311.4
130,319.3333333
130.2272727,661
130.2272727,709
130,717.5
130,723.5
130,729.5
130.3,735
131.3571429,303
131.4166667,365.375
130.5,373.1
128.5,376.5
131.2272727,672
131,680.5
131,686.5
131,692.5
131,698.5
131,702.5
132.4,327.7
132.2272727,605
132,613.5
132,619.5
132,625.5
132,631.5
132.5,636.5
132.4,742.5
132.3,757.1
133.5,266.4444444
133.2272727,592
133,598.5
134.7222222,752.2222222
135.2272727,290.2727273
135.3,298.4
135.2272727,338.2727273
135,346.6666667
135,352.6666667
135.3,358.4
135.2272727,644.1818182
135,652.6666667
136.4,235.4
136,243.1666667
136,249.1666667
136,255.1666667
136.1,260.8
136.4,277.4
135.5,283.3333333
136.4,313.4
136,321.1666667
136.2272727,661.3636364
136.2272727,709.3636364
136,717.8333333
136,723.8333333
136,729.8333333
136.3,735.4
137.3571429,305.5714286
137,364.4166667
137.2272727,672.5454545
137,681
137,687
137,693
137,699
137,703
138.5,330.3333333
138.2272727,605.7272727
138,614.1666667
138,620.1666667
138,626.1666667
138,632.1666667
138.5,637.25
138.4,743.3
138.1666667,756.9166667
139.5,270
139.4,586.4
139,594.3333333
138.5,598.6666667
141.5,292.6666667
141,300
141.5,340.6666667
141,348
141,354
140.9285714,359.9285714
141.2272727,645
141,653.5
141.7,752.6
142.4,232.2
142,240.1666667
142,246.1666667
142,252.1666667
142,258.1666667
142.1,263.6
142.4,280.2
141.5,286.3333333
142.4,316.2
142,324.1666667
142.2272727,662
142.2272727,710
142,718.5
142,724.5
142,730.5
142.3,736
143.2142857,305.1428571
143,310
143,409.15
143.2272727,673.1818182
143,681.6666667
143,687.6666667
143,693.6666667
143,699.6666667
143,704
144.5,331.5555556
144.2272727,386.3636364
144,394.8333333
144,400.8333333
144.3571429,416
144.2272727,606.3636364
144,614.8333333
144,620.8333333
144,626.8333333
144,632.8333333
144.5,638
144.5,743.4444444
145.5,270.6666667
145.4,373
144.5,379.6666667
145,422.4375
145.2272727,581.5454545
145,590
145,596
145,600
145.3,757.4
146.3571429,364.7142857
146.3571429,428
147.2272727,293.7272727
147.2272727,341.7272727
147,350.1666667
147,356.1666667
147,360
147.4,645.8
147,653.6666667
147.5,752.8125
148.4,226.4
148,234.3333333
148,240.3333333
148,246.3333333
148,252.3333333
148,258.3333333
148.1,263.8
148.4,280.4
147.5,286.6666667
148.4,316.4
148,324.3333333
148.375,434.8125
